"","words","value"
"230","aufbringen",-0.0048
"231","auferstehen",0.004
"232","auferstehung",0.004
"233","auffallen",-0.3386
"234","aufgeben",-0.2098
"235","aufgebracht",-0.0048
"236","aufgeregt",-0.0048
"237","aufhebung",-0.0048
"238","aufhören",-0.0142
"239","auflösen",-0.0412
"240","auflösung",-0.0048
"241","aufmerksam",0.004
"242","aufmerksamkeit",0.004
"243","aufmuntern",0.004
"244","aufmunternd",0.004
"245","aufmunterung",0.004
"246","aufrecht",0.004
"247","aufregen",-0.0048
"248","aufregung",-0.0386
"249","aufreibend",-0.0048
"250","aufrichtig",0.004
"251","aufrichtigkeit",0.004
"252","aufruhr",-0.0048
"253","aufrühren",-0.0256
"254","aufschlagen",-0.04
"255","aufschrei",-0.0048
"256","aufschreien",-0.043
"257","aufschwingen",0.004
"258","aufschwung",0.004
"259","aufstand",-0.0048
"260","aufsteigen",0.004
"261","aufstieg",0.004
"262","aufstocken",0.004
"263","aufstockung",0.004
"264","auftrag",0.004
"265","auftreiben",0.004
"266","auftrieb",0.004
"267","aufwärts",0.004
"268","aufwärtstrend",0.004
"269","aufwendig",0.004
"270","aufwerten",0.004
"271","aufwertung",0.004
"272","aufwühlen",-0.0398
"273","augenweide",0.0844
"274","ausbau",0.004
"275","ausbauen",0.004
"276","ausbeute",-0.1894
"277","ausbeuten",-0.3215
"278","ausbeuter",-0.0048
"279","ausbeutung",-0.0048
"280","ausbilden",0.004
"281","ausbildung",0.004
"282","ausbrechen",-0.1819
"283","ausbruch",-0.0048
"284","ausdauer",0.0886
"285","ausdauern",0.004
"286","auseinanderfallen",-0.0048
"287","auseinandersetzen",-0.0584
"288","auseinandersetzung",-0.0603
"289","ausfall",-0.2164
"290","ausfallen",-0.3481
"291","ausführlich",0.004
"292","ausgeflippt",0.0756
"293","ausgeglichen",0.0987
"294","ausgehungert",-0.0048
"295","ausgestorben",-0.0389
"296","ausgewählt",0.004
"297","ausgeweitet",0.004
"298","ausgewogen",0.206
"299","ausgezeichnet",0.3146
"300","ausgleich",0.004
"301","ausgleichen",0.004
"302","ausgleichszahlung",0.004
"303","ausgleiten",-0.0048
"304","ausgrenzen",-0.0048
"305","ausgrenzung",-0.626
"306","auskommen",0.004
"307","auskurieren",0.004
"308","auslöschung",-0.0048
"309","ausradieren",-0.0048
"310","ausreichen",0.004
"311","ausreichend",0.004
"312","ausrotten",-0.0048
"313","ausrottung",-0.0048
"314","ausschalten",-0.0048
"315","ausschließen",-0.4935
"316","ausschließung",-0.0048
"317","außergewöhnlich",0.3395
"318","außerordentlich",0.1137
"319","aussetzen",-0.3413
"320","aussetzung",-0.0048
"321","aussichtslos",-0.183
"322","aussichtsreich",0.004
"323","aussterben",-0.0048
"324","ausweiten",0.004
